Source Domain,Page URL,Error Code,Asset Type
http://bpworldschool.com,https://i0.wp.com/bpworldschool.com/wp-content/uploads/sites/10/2019/08/transfer.png?resize=300%2C83&ssl=1,404,unknown
http://brainworkspreschool.com,http://brainworkspreschool.com/wordpress-themes,404,unknown
http://brainworkspreschool.com,http://brainworkspreschool.com/wordpress-website-builder,404,unknown
http://brainworkspreschool.com,https://brainworkspreschool.com/wordpress-themes?name=wordpress-themes,404,unknown
http://brainworkspreschool.com,https://brainworkspreschool.com/wordpress-website-builder?name=wordpress-website-builder,404,unknown
http://carmelmanasa.com,https://carmelmanasa.com/xmlrpc.php,405,unknown
http://carmelmanasa.com,http://colorlib.com/wp/travelify/,0,unknown
http://dgagrawalschoolcpd.in,https://www.cbse.gov.in/,403,unknown
http://dgaglobal.in,https://www.linkedin.com/in/dgaglobal/,999,unknown
http://drmpsfaridpur.in,http://drmpsfaridpur.in/wp-content/uploads/sites/90/2022/12/images.jpeg,404,unknown
http://drmpsfaridpur.in,https://drmpsfaridpur.in/xmlrpc.php,405,unknown
http://eschoolapp.in,http://z/khizer/SCHOOL%20KIT%20SALE%20-%20eSchool%20-%20eSchoolapp%20School%20Management%20Solution_files,0,unknown
http://eschoolapp.in,https://eschoolapp.in/blog/6-ways-managing-your-classes-efficently/,404,unknown
http://eschoolapp.in,https://www.gstatic.com/recaptcha/releases/4PnKmGB9wRHh1i04o7YUICeI/recaptcha__en.js'%20defer='defer,404,unknown
http://eschoolapp.in,https://plum-mantis-802336.hostingersite.com/erp-features/,0,unknown
http://eschoolapp.in,https://plum-mantis-802336.hostingersite.com/best-school-management-software/diy-reports-card/,0,unknown
http://eschoolapp.in,https://plum-mantis-802336.hostingersite.com/best-school-management-software/transport-management/,0,unknown
http://eschoolapp.in,https://plum-mantis-802336.hostingersite.com/manage-fees/,0,unknown
http://eschoolapp.in,https://plum-mantis-802336.hostingersite.com/school-diary/,0,unknown
http://eschoolapp.in,https://plum-mantis-802336.hostingersite.com/bus-tracking/,0,unknown
http://eschoolapp.in,https://plum-mantis-802336.hostingersite.com/gallery/,0,unknown
http://eschoolapp.in,https://plum-mantis-802336.hostingersite.com/conduct-online-class/,0,unknown
http://eschoolapp.in,https://plum-mantis-802336.hostingersite.com/parent-app-features/,0,unknown
http://eschoolapp.in,https://plum-mantis-802336.hostingersite.com/blog/6-ways-managing-your-classes-efficently/,0,unknown
http://eschoolapp.in,https://plum-mantis-802336.hostingersite.com/blog/take-away-from-the-distance-learning/,0,unknown
http://eschoolapp.in,https://plum-mantis-802336.hostingersite.com/blog/how-to-conduct-efficient-online-classes/,0,unknown
http://eschoolapp.in,https://plum-mantis-802336.hostingersite.com/blog/pricing-school-custom-android-ios-application-with-erp/,0,unknown
http://eschoolapp.in,https://plum-mantis-802336.hostingersite.com/blog/details-to-get-started/,0,unknown
http://eschoolapp.in,https://eschoolapp.in/blog/take-away-from-the-distance-learning/,0,unknown
